Price,Close,High,Low,Open,Volume
Ticker,^FTSE,^FTSE,^FTSE,^FTSE,^FTSE
Date,,,,,
1999-01-04,5879.39990234375,5916.89990234375,5811.2998046875,5909.39990234375,689690000
1999-01-05,5958.2001953125,5980.5,5875.7998046875,5882.2998046875,1033599000
1999-01-06,6148.7998046875,6157.39990234375,5968.89990234375,5968.89990234375,903848000
1999-01-07,6101.2001953125,6153.7001953125,6042.5,6145.89990234375,650124000
1999-01-08,6147.2001953125,6195.60009765625,6114.7998046875,6115.39990234375,559612000
1999-01-11,6085.0,6186.5,6063.2998046875,6164.60009765625,410137000
1999-01-12,6033.60009765625,6140.2998046875,6024.5,6086.10009765625,565013000
1999-01-13,5850.10009765625,5984.2001953125,5746.5,5984.2001953125,619930000
1999-01-14,5820.2001953125,5937.7998046875,5798.7001953125,5842.0,714333000
1999-01-15,5941.0,5941.0,5736.7998046875,5804.60009765625,584966000
1999-01-18,6123.89990234375,6123.89990234375,6013.2001953125,6013.39990234375,619850000
1999-01-19,6027.60009765625,6138.7001953125,6016.39990234375,6106.5,605031000
1999-01-20,6105.60009765625,6129.10009765625,6048.7998046875,6050.5,721035000
1999-01-21,6022.2998046875,6124.60009765625,6021.89990234375,6097.60009765625,686857000
1999-01-22,5861.2001953125,5972.0,5835.10009765625,5972.0,585793000
1999-01-25,5880.89990234375,5905.7998046875,5749.2998046875,5844.5,381671000
1999-01-26,5885.7001953125,5927.7998046875,5822.89990234375,5893.7998046875,505551000
1999-01-27,5876.39990234375,5989.2998046875,5859.5,5947.7998046875,614935000
1999-01-28,5872.5,5959.7998046875,5841.2001953125,5856.7001953125,679932000
1999-01-29,5896.0,5941.7001953125,5832.0,5902.60009765625,614163000
1999-02-01,6012.39990234375,6045.0,5925.7001953125,5926.0,586046000
1999-02-02,6013.0,6031.7998046875,5915.2001953125,6004.7998046875,561166000
1999-02-03,5940.2998046875,6048.2001953125,5922.7998046875,6012.39990234375,624823000
1999-02-04,5939.89990234375,6041.5,5924.7001953125,5993.0,615080000
1999-02-05,5855.2998046875,5940.7998046875,5848.39990234375,5932.2001953125,524304000
1999-02-08,5834.89990234375,5867.39990234375,5789.60009765625,5867.39990234375,440523000
1999-02-09,5779.89990234375,5868.10009765625,5756.5,5838.5,510289000
1999-02-10,5770.2001953125,5779.60009765625,5697.7001953125,5779.60009765625,537083000
1999-02-11,5888.5,5888.7001953125,5792.10009765625,5792.10009765625,685796000
1999-02-12,5950.7001953125,6032.5,5880.2001953125,5940.0,675459000
1999-02-15,6023.2001953125,6033.2001953125,5924.0,5930.2001953125,354578000
1999-02-16,6108.60009765625,6133.2001953125,6042.60009765625,6042.60009765625,583208000
1999-02-17,6078.39990234375,6111.89990234375,6040.7001953125,6090.7001953125,530407000
1999-02-18,6074.89990234375,6117.7998046875,6007.10009765625,6084.10009765625,538899000
1999-02-19,6031.2001953125,6066.39990234375,6009.5,6066.2998046875,453555000
1999-02-22,6069.89990234375,6080.89990234375,5994.7998046875,6037.7001953125,469166000
1999-02-23,6155.2001953125,6185.2001953125,6111.89990234375,6118.7001953125,502257000
1999-02-24,6307.60009765625,6316.60009765625,6146.7998046875,6152.2001953125,593926000
1999-02-25,6206.5,6319.7998046875,6193.39990234375,6272.10009765625,687962000
1999-02-26,6175.10009765625,6222.7001953125,6156.60009765625,6207.0,523316000
1999-03-01,6060.89990234375,6185.2001953125,6032.7001953125,6177.5,467096000
1999-03-02,6061.2998046875,6089.60009765625,6033.5,6062.2998046875,452505000
1999-03-03,6048.2998046875,6116.0,6039.89990234375,6057.2998046875,510207000
1999-03-04,6101.5,6117.89990234375,6021.39990234375,6057.10009765625,597497000
1999-03-05,6205.5,6243.2998046875,6122.5,6141.7001953125,574841000
1999-03-08,6208.89990234375,6234.5,6174.60009765625,6210.0,433866000
1999-03-09,6237.7001953125,6287.2998046875,6196.89990234375,6220.5,501440000
1999-03-10,6241.5,6242.10009765625,6168.60009765625,6232.7001953125,582304000
1999-03-11,6335.7001953125,6360.2998046875,6241.2001953125,6290.39990234375,707202000
1999-03-12,6282.2001953125,6365.39990234375,6272.7998046875,6332.10009765625,592987000
1999-03-15,6206.7998046875,6280.7998046875,6159.39990234375,6259.2001953125,1020475000
1999-03-16,6201.89990234375,6269.60009765625,6181.2001953125,6216.7998046875,529761000
1999-03-17,6140.60009765625,6194.5,6109.7001953125,6194.5,519472000
1999-03-18,6114.2998046875,6161.39990234375,6074.89990234375,6144.7998046875,584552000
1999-03-19,6163.2001953125,6211.2001953125,6135.60009765625,6160.7998046875,643500000
1999-03-22,6152.7998046875,6200.10009765625,6128.89990234375,6155.2001953125,473538000
1999-03-23,6060.5,6124.7001953125,6048.60009765625,6079.7001953125,513031000
1999-03-24,6016.7001953125,6044.89990234375,5968.2998046875,6044.89990234375,665220000
1999-03-25,6085.0,6095.89990234375,6024.39990234375,6024.39990234375,660306000
1999-03-26,6139.2001953125,6139.2998046875,6061.60009765625,6087.2998046875,691385000
1999-03-29,6252.89990234375,6253.7998046875,6138.2998046875,6157.7998046875,438246000
1999-03-30,6264.2001953125,6278.7998046875,6237.60009765625,6265.7998046875,609845000
1999-03-31,6295.2998046875,6352.5,6263.2001953125,6263.2001953125,489508000
1999-04-01,6330.0,6399.10009765625,6280.7001953125,6283.10009765625,529933000
1999-04-06,6415.2998046875,6443.89990234375,6367.2001953125,6367.2001953125,513649000
1999-04-07,6473.2001953125,6496.10009765625,6421.89990234375,6421.89990234375,535940000
1999-04-08,6437.89990234375,6489.7001953125,6405.2001953125,6478.2998046875,472954000
1999-04-09,6472.7998046875,6512.10009765625,6416.5,6460.2001953125,527658000
1999-04-12,6441.2001953125,6463.7998046875,6377.2001953125,6463.7998046875,460944000
1999-04-13,6513.10009765625,6519.5,6463.60009765625,6463.60009765625,546087000
1999-04-14,6493.60009765625,6539.89990234375,6463.60009765625,6511.2998046875,633821000
1999-04-15,6466.10009765625,6517.60009765625,6443.2998046875,6487.10009765625,630641000
1999-04-16,6420.60009765625,6513.2001953125,6410.7998046875,6494.2001953125,869380000
1999-04-19,6515.2998046875,6515.2998046875,6414.60009765625,6433.7001953125,522511000
1999-04-20,6319.7998046875,6446.7001953125,6280.2001953125,6446.7001953125,620204000
1999-04-21,6311.0,6342.10009765625,6285.0,6324.7998046875,673298000
1999-04-22,6413.60009765625,6457.10009765625,6362.2001953125,6362.2001953125,675280000
1999-04-23,6428.0,6469.2001953125,6418.7998046875,6442.60009765625,469680000
1999-04-26,6503.60009765625,6521.89990234375,6434.89990234375,6434.89990234375,463347000
1999-04-27,6593.60009765625,6635.89990234375,6522.7998046875,6527.5,531574000
1999-04-28,6598.7998046875,6613.0,6577.7998046875,6595.5,587528000
1999-04-29,6497.60009765625,6592.0,6493.60009765625,6592.0,543516000
1999-04-30,6552.2001953125,6585.0,6520.5,6520.5,519794000
1999-05-04,6533.10009765625,6663.7998046875,6515.7001953125,6593.5,578581000
1999-05-05,6401.7001953125,6527.39990234375,6401.7001953125,6527.39990234375,516462000
1999-05-06,6406.60009765625,6485.7001953125,6351.7998046875,6427.7001953125,676383000
1999-05-07,6356.0,6411.60009765625,6336.2001953125,6411.60009765625,561266000
1999-05-10,6348.7998046875,6390.2998046875,6280.39990234375,6374.0,439692000
1999-05-11,6378.2998046875,6390.39990234375,6349.7001953125,6350.5,585002000
1999-05-12,6343.10009765625,6389.60009765625,6283.10009765625,6385.60009765625,582469000
1999-05-13,6456.60009765625,6466.0,6352.60009765625,6352.60009765625,477352000
1999-05-14,6300.39990234375,6465.5,6261.39990234375,6460.0,515074000
1999-05-17,6165.7998046875,6285.39990234375,6160.5,6285.39990234375,412365000
1999-05-18,6206.39990234375,6225.7001953125,6147.60009765625,6191.5,559136000
1999-05-19,6266.7001953125,6268.2001953125,6193.0,6229.0,734705000
