date_opened,ticker,strategy,vol_filter,entry_signal,entry_score,entry_gate_flag,entry_price,regime_at_entry,rsi_at_entry,volume_ratio,kelly_fraction,position_size_gbp,date_closed,exit_reason,exit_price,stop_level,target_level,pnl_usd,return_pct,days_held,peak_gain,peak_loss,strategy_return,bh_return,market_ret_during_hold,notes
2000-07-09 18:00:00+00:00,CSX,optimised_new,daily-rescreened,BUY,7.0,BUY,1.0883,0.9091,62.07,1.17,0.1,10120.101700000001,2000-07-10 20:00:00+00:00,"rr_stop_loss(8.1% loss, risk=8%)",0.9996,1.0012,1088.2925,-844.2366821000011,-0.0815032619682073,1,0.005329412845722712,-0.0815032619682073,0.00101315328154028,0.12527204002476644,-0.08145371397285761,
2000-07-09 18:00:00+00:00,FAST,optimised_new,daily-rescreened,BUY,6.0,BUY,1.4069,0.4639,65.42,1.47,0.1,9106.8637,2000-07-09 19:00:00+00:00,"rr_stop_loss(8.4% loss, risk=8%)",1.289,1.2944,1406.947,-780.6172607000018,-0.08380126519297755,0,0.0,-0.08380126519297755,0.01426662727293082,0.015542170328244564,-0.08383399999999985,
2000-07-09 23:00:00+00:00,AAL.L,optimised_new,daily-rescreened,BUY,6.0,BUY,594.4363,0.1063,59.29,1.97,0.1,8191.332213999999,2000-07-20 18:00:00+00:00,signal,573.8405,546.8814,594436.267,-356.9644936779986,-0.03464761489162076,10,0.0994081283394033,-0.03464761489162076,0.017480754071010463,0.027892778035894628,-0.03464675842250298,
2000-07-18 23:00:00+00:00,ELV,optimised_new,daily-rescreened,BUY,6.0,BUY,17.8817,0.0036,60.11,2.29,0.1,9137.5487,2000-07-19 20:00:00+00:00,"rr_stop_loss(9.0% loss, risk=8%)",16.275,16.4512,17881.7124,-838.4777737,-0.08985163603013137,0,0.0,-0.08985163603013137,-0.006970253109271463,0.07098684945880462,-0.08985118381677071,
2000-07-20 00:00:00+00:00,KMB,optimised_new,daily-rescreened,BUY,6.0,BUY,36.4436,0.3979,51.22,1.79,0.1,9839.772,2000-08-03 22:00:00+00:00,signal,36.285,33.5281,36443.6,-62.45872200000186,-0.004351930105697762,14,0.07202087609347037,-0.032812345651911594,-0.008033820843579953,-0.01364789948214562,-0.004351514497657916,
2000-07-20 20:00:00+00:00,ELV,optimised_new,daily-rescreened,BUY,6.0,BUY,17.9784,0.0433,59.16,1.9,0.1,8863.351200000001,2000-07-23 20:00:00+00:00,"rr_stop_loss(8.6% loss, risk=8%)",16.4388,16.5401,17978.3579,-775.9904795999995,-0.08563609664931252,3,0.0,-0.08563609664931252,-0.0069275619653345055,0.08176787048956458,-0.08563169594306086,
2000-07-25 20:00:00+00:00,FAST,optimised_new,daily-rescreened,BUY,6.0,BUY,1.3893,0.5299,54.73,1.63,0.1,8792.8797,2000-07-30 18:00:00+00:00,"rr_stop_loss(8.5% loss, risk=8%)",1.2712,1.2781,1389.2803,-764.2932044999984,-0.08500683797595902,4,0.0,-0.08500683797595902,0.026350341348349238,0.0015560257326290294,-0.0849620969935948,
2000-07-25 21:00:00+00:00,CI,optimised_new,daily-rescreened,BUY,6.0,BUY,31.4117,0.14,62.5,3.65,0.1,7884.3367,2000-08-21 21:00:00+00:00,signal,29.2582,28.8988,31411.7152,-555.7566449000005,-0.06855725732768367,27,0.07495296338625422,-0.0732465928300601,0.022765315931813968,0.1463681513826003,-0.06855591498622204,
2000-07-27 21:00:00+00:00,PG,optimised_new,daily-rescreened,BUY,8.0,BUY,21.4874,0.9911,56.54,1.61,0.1,7112.3294000000005,2000-07-31 18:00:00+00:00,"rr_stop_loss(8.3% loss, risk=8%)",19.7037,19.7684,21487.4068,-604.0389540999996,-0.08301143926207916,3,0.0,-0.08301143926207916,-0.001249251613575586,-0.20251396833983415,-0.08300995697097302,
2000-07-27 18:00:00+00:00,HON,optimised_new,daily-rescreened,BUY,6.0,BUY,25.8235,0.1268,56.76,1.98,0.1,6404.228,2000-07-28 00:00:00+00:00,"rr_stop_loss(9.6% loss, risk=8%)",23.3405,23.7576,25823.4849,-627.9766720000003,-0.09615272910333614,0,0.01809592038259731,-0.09615272910333614,0.009427669537948491,-0.4313113185075569,-0.09615237048578873,
